section,sous-section,categorie,photos,nom,prix,description,url_scrap,code_produit
maquillage,teint,Fond de teint,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwf2055383/product/OAP3000/3054089394885/3054089394885_1_XXL.jpg?sw=340&sh=288&sm=fit,Accord Parfait Fluide,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP3000
maquillage,teint,Poudre,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw598ff7d6/product/OAP3002/3600520932804/3600520932804_1_XXL.jpg?sw=340&sh=288&sm=fit,Accord Parfait Poudre,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,poudre,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP3002
maquillage,teint,BB Cream./CC Cream,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw27916cb8/product/OAP6977/3600523724611/3600523724611_1_XXL.jpg?sw=340&sh=288&sm=fit,CC C'est Magic CC Crème Embellisseur de Teint Anti-rougeurs,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,3600523724611
maquillage,teint,Fond de teint,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwf68fe6a7/product/OAP6866/3600523527854/3600523527854_1_XXL.jpg?sw=340&sh=288&sm=fit,Infaillible 24h Fond de Teint Fluide,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP6866
maquillage,teint,Correcteur / anti-cernes,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw27399361/product/OAP6937/30173569/30173569_1_XXL.jpg?sw=340&sh=288&sm=fit,Infaillible More Than Concealer Correcteur et Fond de teint 2 en 1,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP6937
maquillage,teint,Poudre,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwb05c3713/product/OAP6942/3600523675685/3600523675685_1_XXL.jpg?sw=340&sh=288&sm=fit,Infaillible 24H Poudre Libre Fixante,0,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,poudre,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,3600523675685
maquillage,teint,Fond de teint,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwd97c511b/product/OAP7165/3600523990252/3600523990252_1_XXL.jpg?sw=340&sh=288&sm=fit,Accord Parfait Sérum Teinté Repulpant,15.50,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP7165
maquillage,teint,Poudre,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3ddde529/product/OAP7135/3600523864058/3600523864058_1_XXL.jpg?sw=340&sh=288&sm=fit,Light From Paradise Poudre illuminatrice,13.50,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,poudre,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP7135
maquillage,teint,Blush,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwe709988b/product/OAP7140/3600523560813/3600523560813_1_XXL.jpg?sw=340&sh=288&sm=fit,Blush En Poudre From Paradise,13.50,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP7140
maquillage,teint,Base de teint,https://prd.dw-loreal-paris.fr/dw/../dw/image/v2/AAQP_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw2903a28b/product/OAP7128/3600523924226/3600523924226_1_XXL.jpg?sw=340&sh=288&sm=fit,Infaillible Super Primer Base de Teint Matifiante,13.50,"peau-seche,effet-anti-age,brand-makeup_age_perfect,peau-fatiguee,soin-exfoliant,peau-grasse,peaux-seches,peau-mature,brand-mascaras_cil_architecte_4D,soin-60-ans-et-plus,peau-terne,soin-eclat,brand-accord_parfait,sous-ton-dore,peaux-normales,brand-super_liner,soin-detoxifiant,texture-liquide,brand-mascaras_mega_volume,soin-hydratant,claire,volume,relachement-cutane,foncee,peaux-grasses,paillete,brand-brow_artist,couvrance-legere,brand-revitalift,lumineux,haute-couvrance,hommes-peau-normale,brand-color_queen,soin-anti-tache,soin-avec-protection,medium,tres-claire,eclat,brand-matte_signature,brand-hydra_genius,brand-infaillible_levres,soin-purifiant,brand-rouge_signature,satine,brand-paradise_extatic,teint-unifie,brand-collection_karl_lagerfeld,faux-cils,longue-tenue,soin-anti-rides,peaux-mixtes,brand-age_perfect_golden_age,soin-30-40-ans,brand-eaux_micellaires,brand-unlimited-mascara,texture-creme,waterproof,couvrance-moyenne,brand-age_perfect_nutrition_intense,brand-infaillible,brand-renaissance_cellulaire,brillant,brand-revitalift_cica_creme,soin-50-60-ans,soin-anti-age,brand-masque-argile-pure-lp,fluide,stick-crayon,teint-mat,sous-ton-rose,brand-volume_millions_de_cils,brand-age_perfect,tous-types-de-peaux,brand-revitalift_laser_x3,liquide,brand-sucre_de_soin,sous-ton-neutre,peaux-sensibles,brand-lip_liner,brand-wake_up_and_glow,mat,manque-de-fermete-et-de-volume,peau-normale-a-mixte,soin-anti-fatigue,brand-infaillible_paint,peaux-matures,brand-demaquillant_doux,teint-hale,soin-cible,brand-collection_caroline_receveur,brand-paris-electric-nights,soin-40-50-ans,peau-sensible,brand-age_expertise,brand-infaillible_24h_matte_cover,soin-nettoyant,brand-brilliant_signature,soin-20-30-ans,medium-fonce,hommes-peau-sensible,brand-revitalift_filler,naturel,brand-collection-elie-saab,brand-color_riche_le_rouge_a_levres,allongeant,brand-mascaras_faux_cils",https://www.loreal-paris.fr/maquillage/teint,OAP7128
